MEDCPIM158SFRBCLE;Median Consumer Price Index, Percent Change at Annual Rate, Monthly, Seasonally Adjusted
Frequency: Monthly;
observation_date;MEDCPIM158SFRBCLE
2004-10-01;2,66050109372762000
2004-11-01;1,48006630553790000
2004-12-01;1,91524972608856000
2005-01-01;3,42175913634541000
2005-02-01;3,30400229074104000
2005-03-01;1,89717939501217000
2005-04-01;2,09647901335652000
2005-05-01;3,16846235161856000
2005-06-01;1,62477538920178000
2005-07-01;3,02864557347464000
2005-08-01;2,22215620270876000
2005-09-01;4,02470724061161000
2005-10-01;3,33157515598619000
2005-11-01;2,83691194814226000
2005-12-01;2,20489319920401000
2006-01-01;2,88432186623886000
2006-02-01;2,07202087371556000
2006-03-01;3,08218251360963000
2006-04-01;2,88703161651260000
2006-05-01;4,28816068458393000
2006-06-01;3,19983083499134000
2006-07-01;3,05393052415284000
2006-08-01;4,62137039677921000
2006-09-01;2,10626377333667000
2006-10-01;3,65069704001577000
2006-11-01;3,02469916751935000
2006-12-01;2,72554654380133000
2007-01-01;2,96441026316892000
2007-02-01;4,44702564001935000
2007-03-01;2,68853112184253000
2007-04-01;2,36832536836802000
2007-05-01;2,35349143799752000
2007-06-01;3,26803173677304000
2007-07-01;2,82817098511783000
2007-08-01;2,18457280462696000
2007-09-01;3,70440600770083000
2007-10-01;3,43463052089827000
2007-11-01;3,47535935275700000
2007-12-01;2,98265388398264000
2008-01-01;3,28360527628442000
2008-02-01;2,85747436326564000
2008-03-01;3,04048574612399000
2008-04-01;2,24101388446512000
2008-05-01;2,46276928959310000
2008-06-01;4,05370089545272000
2008-07-01;3,98912873927892000
2008-08-01;2,94013128490127000
2008-09-01;3,17438970761372000
2008-10-01;2,20171024216991000
2008-11-01;1,93625366578525000
2008-12-01;0,36348415080054200
2009-01-01;2,40364062502632000
2009-02-01;2,14357605719473000
2009-03-01;1,90828983085518000
2009-04-01;1,86117019943739000
2009-05-01;1,29376893720741000
2009-06-01;0,75584590889346000
2009-07-01;0,12583251339235400
2009-08-01;1,62550610790990000
2009-09-01;0,91436978353358600
2009-10-01;1,19036541881350000
2009-11-01;0,51601642131349200
2009-12-01;0,46081040984140600
2010-01-01;0,68011084594070700
2010-02-01;-0,10662785426794900
2010-03-01;-0,28606424629804600
2010-04-01;0,45261625417847300
2010-05-01;0,27574788971958000
2010-06-01;1,26475267675239000
2010-07-01;0,63230506844271800
2010-08-01;0,43020593403722000
2010-09-01;1,53627227687154000
2010-10-01;1,12609057107202000
2010-11-01;1,31829898066591000
2010-12-01;1,39338028075400000
2011-01-01;2,27322625990496000
2011-02-01;2,81696889792589000
2011-03-01;1,74418998266395000
2011-04-01;2,24921919600376000
2011-05-01;2,30581553962390000
2011-06-01;1,92672807632472000
2011-07-01;2,53703137566650000
2011-08-01;3,17797077169901000
2011-09-01;2,49197707942446000
2011-10-01;2,02226514469577000
2011-11-01;1,84701379887522000
2011-12-01;2,37433305779156000
2012-01-01;3,19808928450254000
2012-02-01;1,68455191336783000
2012-03-01;2,42029632056173000
2012-04-01;2,28513384278917000
2012-05-01;1,73207207221013000
2012-06-01;1,92206327761144000
2012-07-01;2,08371119432122000
2012-08-01;2,42386601913445000
2012-09-01;2,28660374272893000
2012-10-01;1,87504766315374000
2012-11-01;2,07215537879355000
2012-12-01;1,79065016566902000
2013-01-01;2,74180750368704000
2013-02-01;2,45154222786008000
2013-03-01;1,21535791179703000
2013-04-01;2,08888418599400000
2013-05-01;1,95638233225290000
2013-06-01;2,13725043962469000
2013-07-01;2,00320004740069000
2013-08-01;2,14802989891620000
2013-09-01;2,23216017314456000
2013-10-01;1,16372929089217000
2013-11-01;2,60550640737742000
2013-12-01;2,84464408227172000
2014-01-01;2,40632650352188000
2014-02-01;2,35083134647025000
2014-03-01;2,85897667543571000
2014-04-01;2,21493222879676000
2014-05-01;2,54562660708071000
2014-06-01;1,31136444111866000
2014-07-01;2,40490383837575000
2014-08-01;1,75173691535098000
2014-09-01;1,93541098458714000
2014-10-01;2,42895655112680000
2014-11-01;2,25631054100233000
2014-12-01;2,38339424556420000
2015-01-01;1,94752959883826000
2015-02-01;1,95449451571832000
2015-03-01;2,43333592636743000
2015-04-01;2,96265053867684000
2015-05-01;2,50129109910950000
2015-06-01;2,97239956431092000
2015-07-01;1,92202530060317000
2015-08-01;1,63579063211565000
2015-09-01;2,99841569275872000
2015-10-01;2,28316449144805000
2015-11-01;2,26548060012650000
2015-12-01;1,83471969623819000
2016-01-01;2,70841659132004000
2016-02-01;2,53771440127248000
2016-03-01;2,22200455864592000
2016-04-01;3,82547788330951000
2016-05-01;3,28051918804040000
2016-06-01;2,10339046055212000
2016-07-01;2,49016471097936000
2016-08-01;2,74257089079208000
2016-09-01;2,49832933493122000
2016-10-01;2,01802556175075000
2016-11-01;2,45883151623452000
2016-12-01;2,03838510774881000
2017-01-01;3,43630577482943000
2017-02-01;3,29234633875322000
2017-03-01;1,91438367511723000
2017-04-01;1,55365836257901000
2017-05-01;2,11321887098435000
2017-06-01;1,89683378620467000
2017-07-01;2,12209368341407000
2017-08-01;2,27475798765204000
2017-09-01;2,87025677144830000
2017-10-01;2,42496302403465000
2017-11-01;2,42039295861358000
2017-12-01;2,95574718908234000
2018-01-01;4,17000041826154000
2018-02-01;2,01327934554867000
2018-03-01;1,96190007372539000
2018-04-01;2,93200914809488000
2018-05-01;2,98183255084012000
2018-06-01;2,63211788853712000
2018-07-01;2,11149391449985000
2018-08-01;2,29671128678510000
2018-09-01;2,33372335554622000
2018-10-01;2,60626268747923000
2018-11-01;3,72376360170077000
2018-12-01;2,91177701505443000
2019-01-01;2,88960472562634000
2019-02-01;2,97821762626109000
2019-03-01;3,21024114832287000
